"PrimaryKey","siteid","ProportionCriteriaMet"
"13050613525457372013-09-01","R012XY022ID",1
"13050809363628072013-09-01","R012XY017ID",1
"13050815294642982013-09-01","R012XY022ID",1
"13050913470047482013-09-01","R012XY022ID",1
"13051310262580342013-09-01","R012XY017ID",1
"13051406262191892013-09-01","R012XY017ID",1
"1305141132354472013-09-01","R012XY003ID",1
"13051508021885962013-09-01","R012XY003ID",1
"13051513251355502013-09-01","R012XY017ID",1
"13051516045531752013-09-01","R012XY017ID",1
"13052011380377362013-09-01","R012XY017ID",1
"13052016230692112013-09-01","R012XY001ID",1
"13052107570859702013-09-01","R012XY001ID",1
"13052113524592552013-09-01","R012XY001ID",1
"13052208242498152013-09-01","R012XY001ID",1
"1305221148273832013-09-01","R012XY001ID",1
"13052309284159132013-09-01","R012XY017ID",1
"13052910260963002013-09-01","R012XY022ID",1
"13052914010240672013-09-01","R012XY022ID",1
"13053008432594792013-09-01","R012XY017ID",1
"1306031340465882013-09-01","R012XY017ID",1
"13060317441955842013-09-01","R012XY017ID",1
"13060412584836222013-09-01","R012XY003ID",1
"13060417430163462013-09-01","R012XY003ID",1
"13060511283972752013-09-01","R012XY017ID",1
"13060515371132322013-09-01","R012XY017ID",1
"13060608304078182013-09-01","R012XY017ID",1
"13060613383775322013-09-01","R012XY017ID",1
"13060614491472232013-09-01","R012XY017ID",1
"13060617420348242013-09-01","R012XY017ID",1
"13061011422164892013-09-01","R012XY001ID",1
"13061016513359862013-09-01","R012XY001ID",1
"13061108303643642013-09-01","R012XY001ID",1
"13061711034699072013-09-01","R012XY001ID",1
"13061715214526122013-09-01","R012XY001ID",1
"13061807551547202013-09-01","R012XY001ID",1
"13061811170717502013-09-01","R012XY001ID",1
"13061816002113112013-09-01","R012XY001ID",1
"13061908133129942013-09-01","R012XY001ID",1
"13061913534238202013-09-01","R012XY001ID",1
"13062008273055282013-09-01","R012XY001ID",1
"13062013250865352013-09-01","R012XY001ID",1
"13062411373988422013-09-01","R012XY001ID",1
"13062508271619212013-09-01","R012XY001ID",1
"13062512314689152013-09-01","R012XY001ID",1
"13062515430540802013-09-01","R012XY001ID",1
"13062518243483222013-09-01","R012XY001ID",1
"13062608333657232013-09-01","R012XY001ID",1
"13062612113941572013-09-01","R012XY001ID",1
"13070307160581692013-09-01","R012XY001ID",1
"1307030843439412013-09-01","R012XY001ID",1
"13070309595764032013-09-01","R012XY001ID",1
"13070312520115372013-09-01","R012XY001ID",1
"13071010224539632013-09-01","R012XY001ID",1
"13071212400961572013-09-01","R012XY001ID",1
"13071215311221942013-09-01","R012XY001ID",1
"13071216514327202013-09-01","R012XY001ID",1
"13071811131185212013-09-01","R012XY001ID",1
